San José, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
San Marcos, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Sonoma, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Stanislaus, Public, CA, , most classes will be online with limited exceptions, https://www.chronicle.com/article/California-State-U-System/248759?cid=wcontentlist_hp_latest
Cameron University, Public, OK, Considering a range of scenarios, planning for in-person  online and hybrid classes in the fall, https://www.cameron.edu/covid-19/summer-and-fall-2020-classes
Cape Cod Community College, Public, MA, Proposing a hybrid model, moving to a hybrid format, https://www.capecod.edu/coronavirus/index.html
Carnegie Mellon University, Private, PA, Considering a range of scenarios, planning a range of scenarios, https://www.post-gazette.com/news/education/2020/04/28/Carnegie-Mellon-University-fall-delayed-start-COVID-19-cmu-salary-furloughs/stories/202004280074
Caroll College, Private, MT, Planning for in-person, href=https://mailchi.mp/472fbc502745/for-all-the-saints-564513?e=ffc6bd0d3b>committed to re-opening for in-person instruction this fall, 
Cedarville University, Private, OH, Planning for in-person, planning a range of scenarios, https://blogs.cedarville.edu/coronavirus-updates/2020/05/may-11-update-planning-for-fall-reopening-the-economy-town-hall-and-summer-programming/
Central Christian College of the Bible, Private, MO, Planning for in-person, plans to open campus in the fall but use online instruction if necessary, https://cccb.edu/news/covid-19/
Central Michigan University, Public, MI, Planning for in-person, planning to return to campus in the fall, https://www.cmich.edu/news/article/pages/CMU_plans_return_for_fall.aspx
Centre College, Private, KY, Proposing a hybrid model, block-scheduling courses in shorter segments to allow flexibility to shift toward either in-person or remote learning, https://www.centre.edu/centre-college-adopts-flexible-block-schedule-for-fall-2020/
Chaffey College, Public, CA, Planning for online, a majority of fall classes will be held online, https://www.chaffey.edu/coronavirus/docs/covid19-may-8.pdf
Chaminade University, Private, HI, Planning for in-person, plans to start fall semester in-person  , https://chaminade.edu/coronavirus/
Chapman University, Private, CA, Planning for in-person, optimistically planning for a safe return in the fall with social distancing and safety constraints in place, https://news.chapman.edu/2020/04/24/a-message-from-the-office-of-the-president/
Chowan University, Private, NC, Planning for in-person, planning to be open in the fall, https://chowan.edu/news/chowan-university-preparing-be-open-fall-2020
Christopher Newport University, Public, VA, Planning for in-person, We are planning for our classes to resume on campus in the fall depending on the state of coronavirus and guidance from state and federal authorities., http://cnu.edu/news/2020/04/22-cnu_tuitionfreeze/
Claremont Colleges, Private, CA, Planning for in-person, committed to in-person fall classes  but no final decision expected till July 1, https://tsl.news/claremont-colleges-committed-to-students-returning-in-fall-but-prep-for-other-scenarios/
Clemson University, Public, SC, Considering a range of scenarios, exploring a range of scenarios  from in-person classes to entirely online, https://www.greenvilleonline.com/story/news/2020/04/23/coronavirus-sc-impact-clemson-has-laser-focus-full-reopening-fall-semester/3006062001/
Cleveland State University, Public, OH, Considering a range of scenarios, considering a range of scenarios, https://www.cleveland.com/opinion/2020/05/preparing-for-a-post-coronavirus-cleveland-state-university-harlan-sands.html
Coastal Carolina University, Public, SC, Planning for in-person, plans to resume in-person instruction in the fall, https://www.coastal.edu/coastal-now/news/advisory/
Colgate University, Private, NY, Considering a range of scenarios, will decide by June 30, https://www.colgate.edu/about/offices-centers-institutes/dean-college/student-health-services/covid-19-information-and-5-19
College of the Atlantic, Private, ME, Planning for in-person, planning for in-person, https://bangordailynews.com/2020/05/07/news/hancock/college-of-the-atlantic-latest-to-plan-fall-reopening/
College of the Desert, Public, CA, Planning for online, moved fall semester classes online, http://www.collegeofthedesert.edu/newsroom/Pages/Summer-and-fall-2020-classes-move-online.aspx
College of Idaho, Private, ID, Planning for in-person, planning to open campus for fall semester, https://www.collegeofidaho.edu/sites/default/files/inline-files/Fall%20Intent%20Letter%20FINAL%205.1.20.pdf
College of New Jersey, Public, NJ, Waiting to decide, expects a decision in early June, https://emergency.tcnj.edu/2020/04/24/updates-on-spring-2020-tuition-fall-2020-operations-and-federal-emergency-grants-for-students/
College of William & Mary, Public, VA, Planning for in-person, “We have every intention of holding in-person classes in the fall as long as it is safe to do so.”, https://www.wm.edu/about/administration/emergency/current_issues/coronavirus/students/faqs/index.php#fall
Colorado Christian University, Private, CO, Considering a range of scenarios, planning a range of scenarios, https://www.ccu.edu/coronavirus/#mostrecent
Colorado College, Private, CO, Planning for in-person, intends to reopen campus in the fall, https://us8.campaign-archive.com/?u=a2ffa14c4a3c79ddcc1b20faa&id=f04705d2c2
Colorado Mesa University, Public, CO, Planning for in-person, planning for in-person, https://covid19.rpi.edu/announcements/hands-experiences
Colorado State University, Public, CO, Planning for in-person, plans to start fall semester in-person in “best case scenario” , https://president.colostate.edu/covid-19-update-from-president-mcconnell/
Columbia College, Private, IL, Considering a range of scenarios, intends to reopen campus  but planning for a range of scenarios, https://www.colum.edu/coronavirus-info/index
Columbia University, Private, NY, Considering a range of scenarios, planning a three-term year  with more details to come by July 1, https://president.columbia.edu/news/update-research-and-next-academic-year
Columbus State University, Public, GA, Planning for in-person, planning face-to-face instruction in the fall, https://news.columbusstate.edu/columbus-state-university-plans-for-face-to-face-classes-in-fall-semester
Concord University, Public, WV, Planning for in-person, plans to reopen campus in the fall, https://www.youtube.com/watch?v=ELSG-uY30t0
Concordia University Chicago, Private, IL, Planning for in-person, plans to return to campus  with hybrid option available, https://www.cuchicago.edu/news/2020/05/president-dawn-announces-fall-operations-update/
Concordia University Irvine, Private, CA, Planning for in-person, intends to have an in-person fall semester, https://www.cui.edu/en-us/studentlife/wellness-center/communication-to-cui-community-on-coronavirus-disease-2019-covid19
Concordia University Nebraska, Private, NE, Waiting to decide, expects final recommendations by July 15, https://www.cune.edu/today/latest-campus-upates/may-1-campus-update
Concordia University St. Paul, Private, MN, Planning for in-person, will reopen campus for fall semester, https://www.csp.edu/news/concordia-st-paul-welcomes-students-back-to-campus-fall-2020/?fbclid=IwAR3FPR6FD5vbZtCz1bUOd_8vVvPbh3Cevenf6hmKcWeEEiOUp2RTIOH5xYg
Concordia University Texas, Private, TX, Planning for in-person, plans , https://www.concordia.edu/blog/announcements-for-fall-2020.html
Cornell College, Private, IA, Planning for in-person, expanded its existing block calendar to 10 3.5-week sessions to allow maximum flexibility to either return to campus or continue distance learning in the fall, https://www.cornellcollege.edu/block/
Cornell University, Private, NY, Waiting to decide, no decision expected until June, https://cornellsun.com/2020/04/22/pollack-no-update-on-plans-for-fall-semester-expected-until-june-cornell-anticipates-hundreds-of-millions-in-losses/
Corish College of the Arts, Private, WA, Waiting to decide, expects a decision by the end of June, https://www.cornish.edu/novel-coronavirus-covid-19-information-resources/
Cottey College, Private, MO, Planning for in-person, planning for in-person, https://cottey.edu/2020/05/cottey-college-plans-for-in-person-classes-in-the-fall/
Covenant College, Private, GA, Planning for in-person, will resume on-campus instruction in the fall if governmental authorities allow it, https://www.covenant.edu/covid19/05.02.2020
Daemen College, Private, NY, Planning for in-person, planning for in-person classes in the fall, https://www.daemen.edu/sites/default/files/documents/Letter-to-Students-04242020.pdf
Dallas County Community College District, Public, TX, Planning for online, planning for classes to be “predominantly online”, https://www.dcccd.edu/au/news-media/coronavirus/faq/pages/default.aspx
Dartmouth College, Private, NH, Considering a range of scenarios, “The probability of a full residential  business-as-usual fall term is not very high ” the provost says., https://www.thedartmouth.com/article/2020/04/college-students-prepare-for-remote-summer-term-fall-plans-remain-uncertain
